Direction,FoodDirection,DangerLeft,DangerUp,DangerRight,DangerDown,DistanceToFood,Alive,Increase
up,none,False,False,False,False,14.0,True,False
left,none,False,False,False,False,13.0,True,False
left,none,False,False,False,False,12.0,True,False
up,none,False,False,False,False,11.0,True,False
up,none,False,False,False,False,10.0,True,False
up,none,False,False,False,False,9.0,True,False
up,none,False,False,False,False,8.0,True,False
up,none,False,False,False,False,7.0,True,False
left,left,False,False,False,False,6.0,True,False
left,none,False,False,False,False,5.0,True,False
up,none,False,False,False,False,4.0,True,False
up,none,False,False,False,False,3.0,True,False
up,none,False,False,False,False,2.0,True,False
up,up,False,False,False,False,1.0,True,False
up,none,False,False,False,False,0.0,True,True
up,none,False,False,False,False,18.0,True,False
up,none,False,False,False,False,17.0,True,False
up,none,False,False,False,False,16.0,True,False
up,none,False,False,False,False,15.0,True,False
up,none,False,False,False,False,14.0,True,False
up,none,False,False,False,False,13.0,True,False
up,none,False,False,False,False,12.0,True,False
left,none,False,False,False,False,11.0,True,False
left,none,False,False,False,False,10.0,True,False
left,none,False,False,False,False,9.0,True,False
left,none,False,False,False,False,8.0,True,False
left,none,False,False,False,False,7.0,True,False
left,left,False,False,False,False,6.0,True,False
left,none,False,False,False,False,5.0,True,False
up,none,False,False,False,False,4.0,True,False
up,none,False,False,False,False,3.0,True,False
up,none,False,False,False,False,2.0,True,False
up,up,False,False,False,False,1.0,True,False
up,none,False,False,False,False,0.0,True,True
right,none,False,False,False,False,23.0,True,False
right,none,False,False,False,False,22.0,True,False
right,none,False,False,False,False,21.0,True,False
right,none,False,False,False,False,20.0,True,False
right,none,False,False,False,False,19.0,True,False
right,none,False,False,False,False,18.0,True,False
right,none,False,False,False,False,17.0,True,False
right,none,False,False,False,False,16.0,True,False
right,none,False,False,False,False,15.0,True,False
right,none,False,False,False,False,14.0,True,False
right,right,False,False,False,False,13.0,True,False
right,none,False,False,False,False,12.0,True,False
right,left,False,False,False,False,13.0,True,False
right,none,False,False,False,False,14.0,True,False
right,none,False,False,False,False,15.0,True,False
right,none,False,False,False,False,16.0,True,False
right,none,False,False,False,False,17.0,True,False
right,none,False,False,False,False,18.0,True,False
right,none,False,False,False,False,19.0,True,False
right,none,False,False,False,False,20.0,True,False
right,none,False,False,False,False,21.0,True,False
right,none,False,False,False,False,22.0,True,False
right,none,False,False,False,False,23.0,True,False
right,none,False,False,False,False,24.0,True,False
down,none,False,False,False,False,23.0,True,False
down,none,False,False,False,False,22.0,True,False
down,none,False,False,False,False,21.0,True,False
down,none,False,False,False,False,20.0,True,False
down,none,False,False,False,False,19.0,True,False
down,none,False,False,False,False,18.0,True,False
down,none,False,False,False,False,17.0,True,False
down,none,False,False,False,False,16.0,True,False
down,none,False,False,False,False,15.0,True,False
down,none,False,False,False,False,14.0,True,False
down,down,False,False,False,False,13.0,True,False
down,none,False,False,False,False,12.0,True,False
down,up,False,False,False,False,13.0,True,False
down,none,False,False,False,False,14.0,True,False
down,none,False,False,False,False,15.0,True,False
right,none,False,False,False,False,16.0,True,False
right,none,False,False,False,False,17.0,True,False
right,none,False,False,False,False,18.0,True,False
right,none,False,False,False,False,19.0,True,False
right,none,False,False,False,False,20.0,True,False
right,none,False,False,False,False,21.0,True,False
up,none,False,False,False,False,20.0,True,False
up,up,False,False,False,False,19.0,True,False
up,none,False,False,False,False,18.0,True,False
right,none,False,False,False,False,17.0,True,False
right,none,False,False,False,False,16.0,True,False
right,none,False,False,False,False,15.0,True,False
right,none,False,False,False,False,14.0,True,False
right,none,False,False,False,False,13.0,True,False
right,none,False,False,False,False,12.0,True,False
right,none,False,False,False,False,11.0,True,False
right,none,False,False,False,False,10.0,True,False
right,none,False,False,False,False,9.0,True,False
right,none,False,False,False,False,8.0,True,False
right,none,False,False,False,False,7.0,True,False
right,none,False,False,False,False,6.0,True,False
right,none,False,False,False,False,5.0,True,False
right,none,False,False,False,False,4.0,True,False
right,none,False,False,False,False,3.0,True,False
right,none,False,False,False,False,2.0,True,False
right,right,False,False,False,False,1.0,True,False
right,none,False,False,False,False,0.0,True,True
right,none,False,False,False,False,15.0,True,False
right,none,False,False,False,False,16.0,True,False
right,none,False,False,False,False,17.0,True,False
right,none,False,False,False,False,18.0,True,False
right,none,False,False,False,False,19.0,True,False
right,none,False,False,False,False,20.0,True,False
right,none,False,False,False,False,21.0,True,False
right,none,False,False,False,False,22.0,True,False
right,none,False,False,False,False,23.0,True,False
right,none,False,False,False,False,24.0,True,False
right,none,False,False,False,False,25.0,True,False
right,none,False,False,False,False,26.0,True,False
right,none,False,False,False,False,25.0,True,False
down,none,False,False,False,False,26.0,True,False
down,none,False,False,False,False,27.0,True,False
down,none,False,False,False,False,28.0,True,False
down,none,False,False,False,False,29.0,True,False
down,none,False,False,False,False,30.0,True,False
down,none,False,False,False,False,31.0,True,False
down,none,False,False,False,False,30.0,True,False
down,none,False,False,False,False,29.0,True,False
down,none,False,False,False,False,28.0,True,False
down,none,False,False,False,False,27.0,True,False
down,none,False,False,False,False,26.0,True,False
down,none,False,False,False,False,25.0,True,False
down,none,False,False,False,False,24.0,True,False
down,none,False,False,False,False,23.0,True,False
down,none,False,False,False,False,22.0,True,False
down,none,False,False,False,False,21.0,True,False
down,none,False,False,False,False,20.0,True,False
down,none,False,False,False,False,19.0,True,False
down,down,False,False,False,False,18.0,True,False
right,down,False,False,False,False,17.0,True,False
right,down,False,False,False,False,16.0,True,False
right,down,False,False,False,False,15.0,True,False
right,down,False,False,False,False,14.0,True,False
right,down,False,False,False,False,13.0,True,False
right,down,False,False,False,False,12.0,True,False
right,down,False,False,False,False,11.0,True,False
right,down,False,False,False,False,10.0,True,False
right,down,False,False,False,False,9.0,True,False
down,none,False,False,False,False,8.0,True,False
right,none,False,False,False,False,7.0,True,False
right,none,False,False,False,False,6.0,True,False
right,none,False,False,False,False,5.0,True,False
right,none,False,False,False,False,4.0,True,False
right,none,False,False,False,False,3.0,True,False
right,none,False,False,False,False,2.0,True,False
right,right,False,False,False,False,1.0,True,False
right,none,False,False,False,False,0.0,True,True
right,none,False,False,False,False,27.0,True,False
right,none,False,False,False,False,26.0,True,False
right,none,False,False,False,False,25.0,True,False
right,none,False,False,False,False,24.0,True,False
right,none,False,False,False,False,23.0,True,False
right,none,False,False,False,False,22.0,True,False
up,none,False,False,False,False,21.0,True,False
up,none,False,False,False,False,20.0,True,False
up,none,False,False,False,False,19.0,True,False
left,none,False,False,False,False,20.0,True,False
left,none,False,False,False,False,21.0,True,False
left,none,False,False,False,False,22.0,True,False
left,none,False,False,False,False,23.0,True,False
up,none,False,False,False,False,22.0,True,False
up,none,False,False,False,False,21.0,True,False
up,none,False,False,False,False,20.0,True,False
up,none,False,False,False,False,19.0,True,False
left,none,False,False,False,False,20.0,True,False
left,none,False,False,False,False,19.0,True,False
up,up,False,False,False,False,18.0,True,False
up,none,False,False,False,False,17.0,True,False
up,down,False,False,False,False,18.0,True,False
up,none,False,False,False,False,19.0,True,False
left,none,False,False,False,False,18.0,True,False
left,none,False,False,False,False,17.0,True,False
left,none,False,False,False,False,16.0,True,False
left,none,False,False,False,False,15.0,True,False
left,none,False,False,False,False,14.0,True,False
down,down,False,False,False,False,13.0,True,False
down,none,False,False,False,False,12.0,True,False
down,up,False,False,False,False,13.0,True,False
left,up,False,False,False,False,12.0,True,False
left,up,False,False,False,False,11.0,True,False
left,up,False,False,False,False,10.0,True,False
left,up,False,False,False,False,9.0,True,False
left,up,False,False,False,False,8.0,True,False
left,up,False,False,False,False,7.0,True,False
left,up,False,False,False,False,6.0,True,False
left,up,False,False,False,False,5.0,True,False
left,up,False,False,False,False,4.0,True,False
left,up,False,False,False,False,3.0,True,False
left,left,False,False,False,False,2.0,True,False
up,left,False,False,False,False,1.0,True,False
left,none,False,False,False,False,0.0,True,True
left,none,False,False,False,False,20.0,True,False
left,none,False,False,False,False,19.0,True,False
left,none,False,False,False,False,18.0,True,False
left,none,False,False,False,False,17.0,True,False
up,none,False,False,False,False,16.0,True,False
up,none,False,False,False,False,15.0,True,False
up,none,False,False,False,False,14.0,True,False
up,none,False,False,False,False,13.0,True,False
up,up,False,False,False,False,12.0,True,False
left,up,False,False,False,False,11.0,True,False
left,up,False,False,False,False,10.0,True,False
left,up,False,False,False,False,9.0,True,False
left,up,False,False,False,False,8.0,True,False
left,up,False,False,False,False,7.0,True,False
left,up,False,False,False,False,6.0,True,False
left,up,False,False,False,False,5.0,True,False
left,up,False,False,False,False,4.0,True,False
left,up,False,False,False,False,3.0,True,False
left,left,False,False,False,False,2.0,True,False
left,up,False,False,False,False,1.0,True,False
left,right,False,False,False,False,2.0,True,False
up,right,False,False,False,False,1.0,True,False
up,right,False,False,False,False,2.0,True,False
up,right,False,False,False,False,3.0,True,False
right,none,False,False,False,False,2.0,True,False
right,left,False,False,False,False,3.0,True,False
right,none,False,False,False,False,4.0,True,False
down,down,False,False,False,False,3.0,True,False
down,none,False,False,False,False,2.0,True,False
down,up,False,False,False,False,3.0,True,False
left,left,False,False,False,False,2.0,True,False
left,up,False,False,False,False,1.0,True,False
left,right,False,False,False,False,2.0,True,False
up,right,False,False,False,False,1.0,True,False
up,right,False,False,False,False,2.0,True,False
up,right,False,False,False,False,3.0,True,False
up,right,False,False,False,False,4.0,True,False
right,none,False,False,False,False,3.0,True,False
right,left,False,False,False,False,4.0,True,False
right,none,False,False,False,False,5.0,True,False
down,none,False,False,False,False,4.0,True,False
down,down,False,False,False,False,3.0,True,False
down,none,False,False,False,False,2.0,True,False
left,left,False,False,False,False,1.0,True,False
left,none,False,False,False,False,0.0,True,True
left,none,False,False,False,False,6.0,True,False
left,none,False,False,False,False,7.0,True,False
left,none,False,False,False,False,8.0,True,False
left,none,False,False,False,False,9.0,True,False
up,up,False,False,False,False,8.0,True,False
up,none,False,False,False,False,7.0,True,False
right,none,False,False,False,False,6.0,True,False
right,none,False,False,False,False,5.0,True,False
right,none,False,False,False,False,4.0,True,False
right,none,False,False,False,False,3.0,True,False
right,none,False,False,False,False,2.0,True,False
right,right,False,False,False,False,1.0,True,False
right,none,False,False,False,False,0.0,True,True
right,right,False,False,False,False,11.0,True,False
right,none,False,False,False,False,10.0,True,False
right,left,False,False,False,False,11.0,True,False
right,none,False,False,False,False,12.0,True,False
right,none,False,False,False,False,13.0,True,False
up,none,False,False,False,False,14.0,True,False
up,none,False,False,False,False,15.0,True,False
up,none,False,False,False,False,16.0,True,False
up,none,False,False,False,False,17.0,True,False
up,none,False,False,False,False,16.0,True,False
right,none,False,False,False,False,17.0,True,False
right,none,False,False,False,False,18.0,True,False
right,none,False,False,False,False,19.0,True,False
right,none,False,False,False,False,20.0,True,False
right,none,False,False,False,False,21.0,True,False
right,none,False,False,False,False,22.0,True,False
right,none,False,False,False,False,23.0,True,False
right,none,False,False,False,False,24.0,True,False
right,none,False,False,False,False,25.0,True,False
right,none,False,False,False,False,26.0,True,False
right,none,False,False,False,False,27.0,True,False
right,none,False,False,False,False,28.0,True,False
right,none,False,False,False,False,29.0,True,False
right,none,False,False,False,False,30.0,True,False
right,none,False,False,False,False,31.0,True,False
right,none,False,False,False,False,30.0,True,False
right,none,False,False,False,False,29.0,True,False
right,none,False,False,False,False,28.0,True,False
right,none,False,False,False,False,27.0,True,False
down,none,False,False,False,False,28.0,True,False
down,none,False,False,False,False,27.0,True,False
down,none,False,False,False,False,26.0,True,False
down,none,False,False,False,False,25.0,True,False
down,none,False,False,False,False,24.0,True,False
down,none,False,False,False,False,23.0,True,False
down,none,False,False,False,False,22.0,True,False
down,none,False,False,False,False,21.0,True,False
left,none,False,False,False,False,22.0,True,False
left,none,False,False,False,False,23.0,True,False
up,none,False,False,False,False,24.0,True,False
up,none,False,False,False,False,25.0,True,False
up,none,False,False,False,False,26.0,True,False
up,none,False,False,False,False,27.0,True,False
up,none,False,False,False,False,28.0,True,False
up,none,False,False,False,False,29.0,True,False
up,none,False,False,False,False,30.0,True,False
up,none,False,False,False,False,29.0,True,False
up,none,False,False,False,False,28.0,True,False
up,none,False,False,False,False,27.0,True,False
up,none,False,False,False,False,26.0,True,False
left,none,False,False,False,False,27.0,True,False
left,none,False,False,False,False,28.0,True,False
down,none,False,False,False,False,29.0,True,False
down,none,False,False,False,False,30.0,True,False
down,none,False,False,False,False,31.0,True,False
down,none,False,False,False,False,32.0,True,False
down,none,False,False,False,False,31.0,True,False
down,none,False,False,False,False,30.0,True,False
down,none,False,False,False,False,29.0,True,False
down,none,False,False,False,False,28.0,True,False
down,none,False,False,False,False,27.0,True,False
down,none,False,False,False,False,26.0,True,False
down,none,False,False,False,False,25.0,True,False
down,none,False,False,False,False,24.0,True,False
down,none,False,False,False,False,23.0,True,False
right,none,False,False,False,False,22.0,True,False
right,none,False,False,False,False,21.0,True,False
right,none,False,False,False,False,20.0,True,False
right,none,False,False,False,False,19.0,True,False
right,none,False,False,False,False,18.0,True,False
right,none,False,False,False,False,17.0,True,False
right,none,False,False,False,False,16.0,True,False
right,none,False,False,False,False,15.0,True,False
right,none,False,False,False,False,14.0,True,False
down,none,False,False,False,False,13.0,True,False
down,none,False,False,False,False,12.0,True,False
down,none,False,False,False,False,11.0,True,False
right,none,False,False,False,False,10.0,True,False
right,none,False,False,False,False,9.0,True,False
right,none,False,False,False,False,8.0,True,False
right,none,False,False,False,False,7.0,True,False
right,none,False,False,False,False,6.0,True,False
down,down,False,False,False,False,5.0,True,False
down,none,False,False,False,False,4.0,True,False
right,none,False,False,False,False,3.0,True,False
right,none,False,False,False,False,2.0,True,False
right,right,False,False,False,False,1.0,True,False
right,none,False,False,False,False,0.0,True,True
right,none,False,False,False,False,9.0,True,False
right,none,False,False,False,False,10.0,True,False
right,none,False,False,False,False,11.0,True,False
right,none,False,False,False,False,12.0,True,False
right,none,False,False,False,False,13.0,True,False
right,none,False,False,False,False,14.0,True,False
right,none,False,False,False,False,15.0,True,False
right,none,False,False,False,False,16.0,True,False
right,none,False,False,False,False,17.0,True,False
down,none,False,False,False,False,16.0,True,False
down,none,False,False,False,False,15.0,True,False
left,none,False,False,False,False,14.0,True,False
left,none,False,False,False,False,13.0,True,False
left,none,False,False,False,False,12.0,True,False
left,none,False,False,False,False,11.0,True,False
left,none,False,False,False,False,10.0,True,False
left,none,False,False,False,False,9.0,True,False
left,none,False,False,False,False,8.0,True,False
left,none,False,False,False,False,7.0,True,False
left,none,False,False,False,False,6.0,True,False
left,none,False,False,False,False,5.0,True,False
left,none,False,False,False,False,4.0,True,False
left,left,False,False,False,False,3.0,True,False
left,none,False,False,False,False,2.0,True,False
down,down,False,False,False,False,1.0,True,False
down,none,False,False,False,False,0.0,True,True
down,none,False,False,False,False,9.0,True,False
right,none,False,False,False,False,8.0,True,False
right,none,False,False,False,False,7.0,True,False
right,none,False,False,False,False,6.0,True,False
right,none,False,False,False,False,5.0,True,False
right,none,False,False,False,False,4.0,True,False
right,none,False,False,False,False,3.0,True,False
right,none,False,False,False,False,2.0,True,False
right,right,False,False,False,False,1.0,True,False
right,none,False,False,False,False,0.0,True,True
right,none,False,False,False,False,23.0,True,False
right,none,False,False,False,False,22.0,True,False
right,none,False,False,False,False,21.0,True,False
right,none,False,False,False,False,20.0,True,False
right,none,False,False,False,False,19.0,True,False
right,none,False,False,False,False,18.0,True,False
right,none,False,False,False,False,17.0,True,False
right,none,False,False,False,False,16.0,True,False
right,none,False,False,False,False,15.0,True,False
down,none,False,False,False,False,14.0,True,False
down,none,False,False,False,False,13.0,True,False
down,none,False,False,False,False,12.0,True,False
down,none,False,False,False,False,11.0,True,False
down,none,False,False,False,False,10.0,True,False
down,none,False,False,False,False,9.0,True,False
down,none,False,False,False,False,8.0,True,False
down,down,False,False,False,False,7.0,True,False
down,none,False,False,False,False,6.0,True,False
down,up,False,False,False,False,7.0,True,False
down,none,False,False,False,False,8.0,True,False
down,none,False,False,False,False,9.0,True,False
down,none,False,False,False,False,10.0,True,False
down,none,False,False,False,False,11.0,True,False
down,none,False,False,False,False,12.0,True,False
right,none,False,False,False,False,11.0,True,False
right,none,False,False,False,False,10.0,True,False
right,none,False,False,False,False,9.0,True,False
right,none,False,False,False,False,8.0,True,False
right,right,False,False,False,False,7.0,True,False
down,right,False,False,False,False,8.0,True,False
down,right,False,False,False,False,9.0,True,False
down,right,False,False,False,False,10.0,True,False
down,right,False,False,False,False,11.0,True,False
down,right,False,False,False,False,12.0,True,False
down,right,False,False,False,False,13.0,True,False
down,right,False,False,False,False,14.0,True,False
down,right,False,False,False,False,15.0,True,False
down,right,False,False,False,False,14.0,True,False
down,right,False,False,False,False,13.0,True,False
down,right,False,False,False,False,12.0,True,False
down,right,False,False,False,False,11.0,True,False
right,none,False,False,False,False,10.0,True,False
right,left,False,False,False,False,11.0,True,False
down,left,False,False,False,False,10.0,True,False
down,left,False,False,False,False,9.0,True,False
down,left,False,False,False,False,8.0,True,False
down,left,False,False,False,False,7.0,True,False
down,left,False,False,False,False,6.0,True,False
down,left,False,False,False,False,5.0,True,False
down,left,False,False,False,False,4.0,True,False
down,left,False,False,False,False,3.0,True,False
left,none,False,False,False,False,2.0,True,False
left,right,False,False,False,False,3.0,True,False
down,right,False,False,False,False,2.0,True,False
down,right,False,False,False,False,1.0,True,False
down,right,False,False,False,False,2.0,True,False
down,right,False,False,False,False,3.0,True,False
down,right,False,False,False,False,4.0,True,False
down,right,False,False,False,False,5.0,True,False
down,right,False,False,False,False,6.0,True,False
down,right,False,False,False,False,7.0,True,False
down,right,False,False,False,False,8.0,True,False
down,right,False,False,False,False,9.0,True,False
down,right,False,False,False,False,10.0,True,False
down,right,False,False,False,False,11.0,True,False
down,right,False,False,False,False,12.0,True,False
right,none,False,False,False,False,11.0,True,False
down,none,False,False,False,False,12.0,True,False
down,none,False,False,False,False,13.0,True,False
down,none,False,False,False,False,14.0,True,False
down,none,False,False,False,False,13.0,True,False
down,none,False,False,False,False,12.0,True,False
down,none,False,False,False,False,11.0,True,False
down,none,False,False,False,False,10.0,True,False
down,none,False,False,False,False,9.0,True,False
down,none,False,False,False,False,8.0,True,False
down,none,False,False,False,False,7.0,True,False
down,none,False,False,False,False,6.0,True,False
down,none,False,False,False,False,5.0,True,False
down,none,False,False,False,False,4.0,True,False
down,none,False,False,False,False,3.0,True,False
down,none,False,False,False,False,2.0,True,False
down,down,False,False,False,False,1.0,True,False
down,none,False,False,False,False,0.0,True,True
down,none,False,False,False,False,24.0,True,False
down,none,False,False,False,False,23.0,True,False
down,none,False,False,False,False,22.0,True,False
down,none,False,False,False,False,21.0,True,False
down,none,False,False,False,False,20.0,True,False
right,none,False,False,False,False,19.0,True,False
right,none,False,False,False,False,18.0,True,False
right,none,False,False,False,False,17.0,True,False
right,none,False,False,False,False,16.0,True,False
right,none,False,False,False,False,15.0,True,False
down,none,False,False,False,False,14.0,True,False
down,none,False,False,False,False,13.0,True,False
down,none,False,False,False,False,12.0,True,False
right,none,False,False,False,False,11.0,True,False
right,none,False,False,False,False,10.0,True,False
right,none,False,False,False,False,9.0,True,False
right,none,False,False,False,False,8.0,True,False
right,none,False,False,False,False,7.0,True,False
down,none,False,False,False,False,6.0,True,False
down,none,False,False,False,False,5.0,True,False
down,down,False,False,False,False,4.0,True,False
down,none,False,False,False,False,3.0,True,False
down,up,False,False,False,False,4.0,True,False
right,up,False,False,False,False,3.0,True,False
right,right,False,False,False,False,2.0,True,False
right,up,False,False,False,False,1.0,True,False
right,left,False,False,False,False,2.0,True,False
right,up,False,False,False,False,3.0,True,False
up,none,False,False,False,False,2.0,True,False
up,down,False,False,False,False,3.0,True,False
up,none,False,False,False,False,4.0,True,False
left,left,False,False,False,False,3.0,True,False
left,none,False,False,False,False,2.0,True,False
left,right,False,False,False,False,3.0,True,False
down,right,False,False,False,False,2.0,True,False
down,right,False,False,False,True,1.0,True,False
down,right,True,True,True,False,2.0,False,False
